# feature,class,assembly,assembly_unit,seq_type,chromosome,genomic_accession,start,end,strand,product_accession,non-redundant_refseq,related_accession,name,symbol,GeneID,locus_tag,feature_interval_length,product_length,attributes
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,32545,32994,-,,,,,,,SL1344_RS00150,450,,old_locus_tag=SL1344_0030
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,32545,32994,-,WP_001250362.1,WP_001250362.1,,transcriptional regulator,,,SL1344_RS00150,450,149,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,33364,34368,+,,,,,,,SL1344_RS00155,1005,,old_locus_tag=SL1344_0031
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,33364,34368,+,WP_001247395.1,WP_001247395.1,,LysR family transcriptional regulator,,,SL1344_RS00155,1005,334,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,34376,34816,-,,,,,,,SL1344_RS00160,441,,old_locus_tag=SL1344_0032
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,34376,34816,-,WP_000158347.1,WP_000158347.1,,transcriptional regulator,,,SL1344_RS00160,441,146,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,35339,37057,+,,,,,,,SL1344_RS00165,1719,,old_locus_tag=SL1344_0033
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,35339,37057,+,WP_001036514.1,WP_001036514.1,,arylsulfatase,,,SL1344_RS00165,1719,572,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,37103,38674,-,,,,,,,SL1344_RS00170,1572,,old_locus_tag=SL1344_0034
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,37103,38674,-,WP_000262866.1,WP_000262866.1,,bifunctional metallophosphatase/5'-nucleotidase,,,SL1344_RS00170,1572,523,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,38773,39534,-,,,,,,,SL1344_RS00175,762,,old_locus_tag=SL1344_0035
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,38773,39534,-,WP_000791534.1,WP_000791534.1,,hypothetical protein,,,SL1344_RS00175,762,253,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,40131,41624,+,,,,,,,SL1344_RS00180,1494,,old_locus_tag=SL1344_0036
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,40131,41624,+,WP_000831880.1,WP_000831880.1,,arylsulfatase,,,SL1344_RS00180,1494,497,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,41723,42913,+,,,,,,,SL1344_RS00185,1191,,old_locus_tag=SL1344_0037
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,41723,42913,+,WP_000971148.1,WP_000971148.1,,anaerobic sulfatase maturase,,,SL1344_RS00185,1191,396,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,42932,44185,+,,,,,,,SL1344_RS00190,1254,,old_locus_tag=SL1344_0038
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,42932,44185,+,WP_001055835.1,WP_001055835.1,,hypothetical protein,,,SL1344_RS00190,1254,417,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,44312,46027,+,,,,,,,SL1344_RS00195,1716,,old_locus_tag=SL1344_0039
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,44312,46027,+,WP_001094892.1,WP_001094892.1,,arylsulfatase,,,SL1344_RS00195,1716,571,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,46190,47356,+,,,,,nhaA,,SL1344_RS00200,1167,,old_locus_tag=SL1344_0040
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,46190,47356,+,WP_000681340.1,WP_000681340.1,,Na+/H+ antiporter NhaA,nhaA,,SL1344_RS00200,1167,388,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,47418,48317,+,,,,,,,SL1344_RS00205,900,,old_locus_tag=SL1344_0041
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,47418,48317,+,WP_000062872.1,WP_000062872.1,,transcriptional activator NhaR,,,SL1344_RS00205,900,299,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,48372,50411,-,,,,,,,SL1344_RS00210,2040,,old_locus_tag=SL1344_0042
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,48372,50411,-,WP_001116457.1,WP_001116457.1,,glycoside hydrolase family 31 protein,,,SL1344_RS00210,2040,679,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,50451,51824,-,,,,,,,SL1344_RS00215,1374,,old_locus_tag=SL1344_0043
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,50451,51824,-,WP_000099996.1,WP_000099996.1,,MFS transporter,,,SL1344_RS00215,1374,457,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,52280,52543,-,,,,,,,SL1344_RS00220,264,,old_locus_tag=SL1344_0044
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,52280,52543,-,WP_001518655.1,WP_001518655.1,,30S ribosomal protein S20,,,SL1344_RS00220,264,87,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,52649,52864,+,,,,,,,SL1344_RS00225,216,,old_locus_tag=SL1344_0045
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,52649,52864,+,WP_001575565.1,WP_001575565.1,,DUF2575 domain-containing protein,,,SL1344_RS00225,216,71,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,52872,53810,+,,,,,,,SL1344_RS00230,939,,old_locus_tag=SL1344_0046
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,52872,53810,+,WP_000767311.1,WP_000767311.1,,bifunctional riboflavin kinase/FAD synthetase,,,SL1344_RS00230,939,312,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,53855,56689,+,,,,,,,SL1344_RS00235,2835,,old_locus_tag=SL1344_0047
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,53855,56689,+,WP_001737973.1,WP_001737973.1,,isoleucine--tRNA ligase,,,SL1344_RS00235,2835,944,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,56689,57189,+,,,,,lspA,,SL1344_RS00240,501,,old_locus_tag=SL1344_0048
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,56689,57189,+,WP_000042739.1,WP_000042739.1,,lipoprotein signal peptidase,lspA,,SL1344_RS00240,501,166,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,57344,57793,+,,,,,,,SL1344_RS00245,450,,old_locus_tag=SL1344_0049
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,57344,57793,+,WP_000047269.1,WP_000047269.1,,peptidyl-prolyl cis-trans isomerase,,,SL1344_RS00245,450,149,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,57796,58746,+,,,,,,,SL1344_RS00250,951,,old_locus_tag=SL1344_0050
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,57796,58746,+,WP_001166422.1,WP_001166422.1,,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,,,SL1344_RS00250,951,316,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,58946,60148,+,,,,,,,SL1344_RS00255,1203,,old_locus_tag=SL1344_0051
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,58946,60148,+,WP_000516322.1,WP_000516322.1,,nitrite reductase,,,SL1344_RS00255,1203,400,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,60164,61084,+,,,,,,,SL1344_RS00260,921,,old_locus_tag=SL1344_0052
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,60164,61084,+,WP_000127283.1,WP_000127283.1,,non-specific ribonucleoside hydrolase RihC,,,SL1344_RS00260,921,306,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,61106,61792,-,,,,,dpiA,,SL1344_RS00265,687,,old_locus_tag=SL1344_0053
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,61106,61792,-,WP_000377406.1,WP_000377406.1,,response regulator,dpiA,,SL1344_RS00265,687,228,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,61794,63413,-,,,,,,,SL1344_RS00270,1620,,old_locus_tag=SL1344_0054
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,61794,63413,-,WP_001737977.1,WP_001737977.1,,sensor histidine kinase,,,SL1344_RS00270,1620,539,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,63548,64849,-,,,,,,,SL1344_RS00275,1302,,old_locus_tag=SL1344_0055
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,63548,64849,-,WP_000444828.1,WP_000444828.1,,oxalacetate decarboxylase subunit beta,,,SL1344_RS00275,1302,433,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,64862,66637,-,,,,,oadA,,SL1344_RS00280,1776,,old_locus_tag=SL1344_0056
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,64862,66637,-,WP_000150421.1,WP_000150421.1,,oxaloacetate decarboxylase alpha chain,oadA,,SL1344_RS00280,1776,591,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,66654,66893,-,,,,,,,SL1344_RS00285,240,,old_locus_tag=SL1344_0057
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,66654,66893,-,WP_001001154.1,WP_001001154.1,,oxaloacetate decarboxylase subunit gamma,,,SL1344_RS00285,240,79,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,67052,68392,-,,,,,citN,,SL1344_RS00290,1341,,old_locus_tag=SL1344_0058
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,67052,68392,-,WP_000183602.1,WP_000183602.1,,citrate:sodium symporter,citN,,SL1344_RS00290,1341,446,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,68637,69683,+,,,,,citC,,SL1344_RS00295,1047,,old_locus_tag=SL1344_0059
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,68637,69683,+,WP_001181452.1,WP_001181452.1,,[citrate (pro-3S)-lyase] ligase,citC,,SL1344_RS00295,1047,348,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,69713,70006,+,,,,,citD,,SL1344_RS00300,294,,old_locus_tag=SL1344_0060
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,69713,70006,+,WP_000691461.1,WP_000691461.1,,citrate lyase ACP,citD,,SL1344_RS00300,294,97,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,70003,70872,+,,,,,citE,,SL1344_RS00305,870,,old_locus_tag=SL1344_0061
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,70003,70872,+,WP_001247803.1,WP_001247803.1,,citrate (pro-3S)-lyase subunit beta,citE,,SL1344_RS00305,870,289,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,70883,72403,+,,,,,citF,,SL1344_RS00310,1521,,old_locus_tag=SL1344_0062
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,70883,72403,+,WP_000665573.1,WP_000665573.1,,citrate lyase subunit alpha,citF,,SL1344_RS00310,1521,506,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,72403,72954,+,,,,,citX,,SL1344_RS00315,552,,old_locus_tag=SL1344_0063
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,72403,72954,+,WP_000679040.1,WP_000679040.1,,citrate lyase holo-[acyl-carrier protein] synthase,citX,,SL1344_RS00315,552,183,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,72932,73840,+,,,,,citG,,SL1344_RS00320,909,,old_locus_tag=SL1344_0064
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,72932,73840,+,WP_001103238.1,WP_001103238.1,,triphosphoribosyl-dephospho-CoA synthase,citG,,SL1344_RS00320,909,302,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,74020,74841,+,,,,,,,SL1344_RS00325,822,,old_locus_tag=SL1344_0065
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,74020,74841,+,WP_000544031.1,WP_000544031.1,,4-hydroxy-tetrahydrodipicolinate reductase,,,SL1344_RS00325,822,273,
gene,pseudogene,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,75091,75430,+,,,,,,,SL1344_RS26475,340,,pseudo;old_locus_tag=SL1344_0066A
CDS,without_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,75091,75430,+,,,,hypothetical protein,,,SL1344_RS26475,340,,pseudo
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,75883,77031,+,,,,,,,SL1344_RS00335,1149,,old_locus_tag=SL1344_0067
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,75883,77031,+,WP_000597287.1,WP_000597287.1,,carbamoyl-phosphate synthase small subunit,,,SL1344_RS00335,1149,382,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,77050,80277,+,,,,,carB,,SL1344_RS00340,3228,,old_locus_tag=SL1344_0068
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,77050,80277,+,WP_001126305.1,WP_001126305.1,,carbamoyl-phosphate synthase large chain,carB,,SL1344_RS00340,3228,1075,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,80551,80946,+,,,,,,,SL1344_RS00345,396,,old_locus_tag=SL1344_0069
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,80551,80946,+,WP_000333324.1,WP_000333324.1,,transcriptional activator CaiF,,,SL1344_RS00345,396,131,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,81023,81619,-,,,,,,,SL1344_RS00350,597,,old_locus_tag=SL1344_0070
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,81023,81619,-,WP_000122861.1,WP_000122861.1,,carnitine operon protein CaiE,,,SL1344_RS00350,597,198,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,81728,82513,-,,,,,,,SL1344_RS00355,786,,old_locus_tag=SL1344_0071
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,81728,82513,-,WP_000004385.1,WP_000004385.1,,carnitinyl-CoA dehydratase,,,SL1344_RS00355,786,261,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,82567,84120,-,,,,,,,SL1344_RS00360,1554,,old_locus_tag=SL1344_0072
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,82567,84120,-,WP_000355806.1,WP_000355806.1,,ATP-dependent acyl-CoA ligase,,,SL1344_RS00360,1554,517,
gene,pseudogene,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,84183,85400,-,,,,,,,SL1344_RS00365,1218,,pseudo
CDS,without_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,84183,85400,-,,,,L-carnitine CoA-transferase,,,SL1344_RS00365,1218,,pseudo
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,85512,86654,-,,,,,,,SL1344_RS00370,1143,,old_locus_tag=SL1344_0074
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,85512,86654,-,WP_000347134.1,WP_000347134.1,,crotonobetainyl-CoA dehydrogenase,,,SL1344_RS00370,1143,380,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,86689,88206,-,,,,,,,SL1344_RS00375,1518,,old_locus_tag=SL1344_0075
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,86689,88206,-,WP_000787076.1,WP_000787076.1,,L-carnitine/gamma-butyrobetaine antiporter,,,SL1344_RS00375,1518,505,
